,project,global_tags,operators,XP,cell_lines,coating,thawing,cell_number,seeding,culture,fixation,mesurement,plate_ref,comments,staining,measurement
139,SCZD,[],,,,,,,,,,,,,,
140,SCZD,[],,,,,,,,,,,,,,
141,SCZD,[],,,,,,,,,,,,,,
142,SCZD,[],,,,,,,,,,,,,,
143,SCZD,[],,,,,,,,,,,,,,
144,DCM,[],,,,,,,,,,,,,,
145,DCM,[],,,,,,,,,,,,,,
146,DCM,[],"{'XP': '', 'staining': ''}",,[],[],[],,[],,[],DCM-myrCell-D-001-002-Actinin-Troponin-x20,[],,[],
147,CP,[],,,,,,,,,,,,,,
148,CP,[],,,,,,,,,,,,,,
149,DCM,[],,,,,,,,,,,,,,
150,DCM,[],,,,,,,,,,,,,,
151,DM1,[],,,,,,,,,,,,,,
152,DM1,[],,,,,,,,,,,,,,
153,DM1,[],,,,,,,,,,,,,,
154,DM1,[],,,,,,,,,,,,,,
155,DM1,[],,,,,,,,,,,,,,
156,DM1,[],,,,,,,,,,,,,,
157,DM1,[],,,,,,,,,,,,,,
158,DM1,[],,,,,,,,,,,,,,
159,DM1,[],,,,,,,,,,,,,,
160,DM1,[],,,,,,,,,,,,,,
161,DM1,[],,,,,,,,,,,,,,
162,DM1,[],,,,,,,,,,,,,,
163,DM1,[],,,,,,,,,,,,,,
164,DM1,[],,,,,,,,,,,,,,
165,DM1,[],,,,,,,,,,,,,,
166,DM1,[],,,,,,,,,,,,,,
167,DM1,[],,,,,,,,,,,,,,
168,DM1,[],,,,,,,,,,,,,,
169,DM1,[],,,,,,,,,,,,,,
170,DM1,[],,,,,,,,,,,,,,
171,DM1,[],,,,,,,,,,,,,,
172,DM1,[],,,,,,,,,,,,,,
173,DM1,[],,,,,,,,,,,,,,
174,DM1,[],,,,,,,,,,,,,,
175,DM1,[],,,,,,,,,,,,,,
176,DM1,[],,,,,,,,,,,,,,
177,DM1,[],,,,,,,,,,,,,,
178,DM1,"['ImmortalizedMyoblasts', 'Scenario1', 'Scenario2', 'Automation', '10X', 'MaxProjection', 'Bin1x1']","{'XP': 'AW', 'staining': 'AW'}",Automation 1,"['DM1#exp001', 'WT#exp001']",[],"[{'date': '10/15/2020', 'tag': '2 vials'}]",,"[{'date': '10/15/2020', 'tag': '6k'}, {'date': '10/15/2020', 'tag': '10k'}]","Scenario1:
D0 - Seeding in Proliferation medium
D1 - Medium change to Differentiation Medium
D2 - Pharmacological treatments

Scenario2:
D0 - Seeding in Proliferation Medium
D1 - Medium change and Pharmacological treatment in Differentiation Medium

Short Protocol: D6 - Fixation
Pulse Protocol: D5 - Half Medium change (no treatment back), D9 - Fixation","[{'date': '10/20/2020', 'tag': 'D6 (Short protocol)'}, {'date': '10/23/2020', 'tag': 'D9 (Pulse protocol)'}]",201021-Automation1 bin1X1 D6,['Greiner 781091'],,"[{'date': '10/20/2020', 'primary_anti': 'MF-20', 'primary_ref': '', 'primary_dil': {'value': '200.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}, {'date': '10/20/2020', 'primary_anti': 'Hoechst 33342', 'primary_ref': '', 'primary_dil': {'value': '10000.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}]",
179,DM1,"['ImmortalizedMyoblasts', 'Scenario1', 'Scenario2', 'Automation', '10X', 'Bin2x2', 'MaxProjection']","{'XP': 'AW', 'staining': 'AW'}",Automation 1,"['DM1#exp001', 'WT#exp001']",[],"[{'date': '10/15/2020', 'tag': '2 vials'}]",,"[{'date': '10/15/2020', 'tag': '6k'}, {'date': '10/15/2020', 'tag': '10k'}]","Scenario1:
D0 - Seeding in Proliferation medium
D1 - Medium change to Differentiation Medium
D2 - Pharmacological treatments

Scenario2:
D0 - Seeding in Proliferation Medium
D1 - Medium change and Pharmacological treatment in Differentiation Medium

Short Protocol: D6 - Fixation
Pulse Protocol: D5 - Half Medium change (no treatment back), D9 - Fixation","[{'date': '10/20/2020', 'tag': 'D6 (Short protocol)'}, {'date': '10/23/2020', 'tag': 'D9 (Pulse protocol)'}]",201021-Automation1 bin2X2 D6,['Greiner 781091'],,"[{'date': '10/20/2020', 'primary_anti': 'MF-20', 'primary_ref': '', 'primary_dil': {'value': '200.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}, {'date': '10/20/2020', 'primary_anti': 'Hoechst 33342', 'primary_ref': '', 'primary_dil': {'value': '10000.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}]",
180,DM1,"['ImmortalizedMyoblasts', 'Scenario1', 'Scenario2', 'Automation', '10X', 'MaxProjection', 'Bin3x3']","{'XP': 'AW', 'staining': 'AW'}",Automation 1,"['DM1#exp001', 'WT#exp001']",[],"[{'date': '10/15/2020', 'tag': '2 vials'}]",,"[{'date': '10/15/2020', 'tag': '6k'}, {'date': '10/15/2020', 'tag': '10k'}]","Scenario1:
D0 - Seeding in Proliferation medium
D1 - Medium change to Differentiation Medium
D2 - Pharmacological treatments

Scenario2:
D0 - Seeding in Proliferation Medium
D1 - Medium change and Pharmacological treatment in Differentiation Medium

Short Protocol: D6 - Fixation
Pulse Protocol: D5 - Half Medium change (no treatment back), D9 - Fixation","[{'date': '10/20/2020', 'tag': 'D6 (Short protocol)'}, {'date': '10/23/2020', 'tag': 'D9 (Pulse protocol)'}]",201021-Automation1 bin3X3 D6,['Greiner 781091'],,"[{'date': '10/20/2020', 'primary_anti': 'MF-20', 'primary_ref': '', 'primary_dil': {'value': '200.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}, {'date': '10/20/2020', 'primary_anti': 'Hoechst 33342', 'primary_ref': '', 'primary_dil': {'value': '10000.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}]",
181,DM1,"['ImmortalizedMyoblasts', 'Scenario1', 'Scenario2', 'Automation', '10X', 'MaxProjection', 'Bin4x4']","{'XP': 'AW', 'staining': 'AW'}",Automation 1,"['DM1#exp001', 'WT#exp001']",[],"[{'date': '10/15/2020', 'tag': '2 vials'}]",,"[{'date': '10/15/2020', 'tag': '6k'}, {'date': '10/15/2020', 'tag': '10k'}]","Scenario1:
D0 - Seeding in Proliferation medium
D1 - Medium change to Differentiation Medium
D2 - Pharmacological treatments

Scenario2:
D0 - Seeding in Proliferation Medium
D1 - Medium change and Pharmacological treatment in Differentiation Medium

Short Protocol: D6 - Fixation
Pulse Protocol: D5 - Half Medium change (no treatment back), D9 - Fixation","[{'date': '10/20/2020', 'tag': 'D6 (Short protocol)'}, {'date': '10/23/2020', 'tag': 'D9 (Pulse protocol)'}]",201021-Automation1 bin4X4 D6,['Greiner 781091'],,"[{'date': '10/20/2020', 'primary_anti': 'MF-20', 'primary_ref': '', 'primary_dil': {'value': '200.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}, {'date': '10/20/2020', 'primary_anti': 'Hoechst 33342', 'primary_ref': '', 'primary_dil': {'value': '10000.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}]",
