sim,metabatchid
-0.258155231195859,BRD-K22482860-001-20-6
0.5566897594773376,BRD-K23363278-001-02-1
-0.2404746216559225,BRD-K23913458-001-20-7
0.013871551162069392,BRD-K24282351-001-02-9
-0.05163464499099083,BRD-K24283677-001-02-9
-0.33394065821849467,BRD-K24616672-003-19-3
0.5885922058990617,BRD-K24696047-001-02-3
-0.14469903423533229,BRD-K25243230-001-01-2
0.29743261658920317,BRD-K25244359-066-04-9
0.17748563020755978,BRD-K25311561-001-10-7
0.4291153799452059,BRD-K25412176-001-04-9
0.03196925494689026,BRD-K26439554-001-02-9
0.11420574605214058,BRD-K26514105-001-02-9
0.20632219149373698,BRD-K26521938-001-07-2
0.035388805100427294,BRD-K26970495-001-02-7
0.3086198002269004,BRD-K26989966-001-04-3
-0.19347360445473225,BRD-K27539181-001-09-9
0.6710860553953771,BRD-K28132190-001-02-0
-0.04528178001736251,BRD-K29151923-001-02-9
-0.07173868396472295,BRD-K29322660-001-01-9
0.3321704570228118,BRD-K29530284-001-06-2
0.6439205679620477,BRD-K29791386-001-01-8
0.5208148287351952,BRD-K29895144-001-01-0
-0.4817296668486621,BRD-K30177383-001-02-9
0.16033605526325453,BRD-K31170746-001-03-9
0.013343663277970817,BRD-K31476763-001-01-5
0.16236878739290428,BRD-K32292990-001-03-6
0.5822276009433909,BRD-K32730239-001-01-0
0.0861396322707912,BRD-K32821942-001-21-3
0.2813912735029435,BRD-K33882852-003-04-9
0.6709469372288576,BRD-K34581968-001-04-6
-0.3472360906443299,BRD-K35498378-001-06-1
0.7121222959109207,BRD-K36016295-001-05-2
0.7590891064460071,BRD-K36055864-001-19-2
-0.15761294847214458,BRD-K36461289-001-05-8
-0.055293863811464644,BRD-K36574127-001-04-9
0.1260096351361703,BRD-K36660044-001-24-2
0.6455767868456997,BRD-K36740062-001-07-9
-0.18662319144160192,BRD-K36927236-001-30-0
-0.2283790232282185,BRD-K37355418-236-01-6
0.1301877153455149,BRD-K37385792-003-02-1
-0.007055406868498636,BRD-K37602296-001-02-9
0.5685174394553708,BRD-K37764012-001-06-9
0.17378239454932926,BRD-K37864785-001-01-0
0.7858486634471821,BRD-K38272302-001-02-7
0.14419898266369027,BRD-K38512030-001-01-7
0.1912212947351928,BRD-K38775274-001-22-1
0.41247378923059763,BRD-K38852836-001-04-9
0.6768198561093427,BRD-K40109029-001-03-7
