Gene,Gene name,Cell line,TPM,pTPM,nTPM
ENSG00000069812,HES2,U2OS,0.1,0.1,0.1
ENSG00000069849,ATP1B3,U2OS,57.4,71.3,55.4
ENSG00000069869,NEDD4,U2OS,16.3,20.2,15.7
ENSG00000069943,PIGB,U2OS,4.0,4.9,3.8
ENSG00000069974,RAB27A,U2OS,17.7,22.1,17.0
ENSG00000070018,LRP6,U2OS,17.2,21.5,16.4
ENSG00000070019,GUCY2C,U2OS,0.0,0.0,0.0
ENSG00000070159,PTPN3,U2OS,8.8,11.0,8.4
ENSG00000070193,FGF10,U2OS,0.0,0.0,0.0
ENSG00000070214,SLC44A1,U2OS,15.8,19.7,15.0
ENSG00000070423,RNF126,U2OS,26.6,33.0,25.7
ENSG00000070444,MNT,U2OS,5.7,7.1,5.4
ENSG00000070495,JMJD6,U2OS,28.3,35.2,27.3
ENSG00000070501,POLB,U2OS,29.5,36.8,28.3
ENSG00000070526,ST6GALNAC1,U2OS,0.1,0.1,0.1
ENSG00000070610,GBA2,U2OS,30.7,38.2,29.4
ENSG00000070614,NDST1,U2OS,89.7,111.9,85.6
ENSG00000070669,ASNS,U2OS,122.8,152.7,116.9
ENSG00000070729,CNGB1,U2OS,0.2,0.3,0.2
ENSG00000070731,ST6GALNAC2,U2OS,0.1,0.1,0.1
ENSG00000070748,CHAT,U2OS,0.1,0.2,0.1
ENSG00000070756,PABPC1,U2OS,615.7,765.1,591.1
ENSG00000070759,TESK2,U2OS,2.7,3.4,2.5
ENSG00000070770,CSNK2A2,U2OS,29.4,36.7,28.3
ENSG00000070778,PTPN21,U2OS,11.2,14.0,10.8
ENSG00000070785,EIF2B3,U2OS,36.1,45.0,34.9
ENSG00000070808,CAMK2A,U2OS,0.1,0.1,0.1
ENSG00000070831,CDC42,U2OS,236.5,294.4,227.2
ENSG00000070886,EPHA8,U2OS,0.8,1.0,0.7
ENSG00000070915,SLC12A3,U2OS,0.0,0.0,0.0
ENSG00000070961,ATP2B1,U2OS,27.2,33.9,26.0
ENSG00000071051,NCK2,U2OS,67.8,84.7,64.9
ENSG00000071054,MAP4K4,U2OS,105.4,131.4,101.1
ENSG00000071073,MGAT4A,U2OS,4.1,5.1,3.9
ENSG00000071242,RPS6KA2,U2OS,4.9,6.2,4.7
ENSG00000071243,ING3,U2OS,7.1,8.9,6.8
ENSG00000071539,TRIP13,U2OS,60.6,75.4,58.3
ENSG00000071553,ATP6AP1,U2OS,91.7,114.5,87.8
ENSG00000071564,TCF3,U2OS,83.4,103.9,79.9
ENSG00000071575,TRIB2,U2OS,41.3,51.6,39.2
ENSG00000071794,HLTF,U2OS,19.1,23.8,18.3
ENSG00000071909,MYO3B,U2OS,0.0,0.0,0.0
ENSG00000071967,CYBRD1,U2OS,12.8,16.0,12.2
ENSG00000071994,PDCD2,U2OS,60.8,75.7,58.5
ENSG00000072041,SLC6A15,U2OS,4.2,5.3,4.1
ENSG00000072042,RDH11,U2OS,90.4,112.6,86.6
ENSG00000072062,PRKACA,U2OS,18.6,23.1,17.8
ENSG00000072110,ACTN1,U2OS,353.9,440.4,341.3
ENSG00000072133,RPS6KA6,U2OS,2.2,2.7,2.1
ENSG00000072135,PTPN18,U2OS,12.7,15.9,12.2
ENSG00000072182,ASIC4,U2OS,0.2,0.3,0.2
ENSG00000072195,SPEG,U2OS,20.3,25.3,19.6
ENSG00000072201,LNX1,U2OS,2.2,2.7,2.1
ENSG00000072210,ALDH3A2,U2OS,23.4,29.1,22.4
ENSG00000072274,TFRC,U2OS,118.8,147.7,114.3
ENSG00000072310,SREBF1,U2OS,49.8,62.1,47.2
ENSG00000072315,TRPC5,U2OS,0.0,0.0,0.0
ENSG00000072364,AFF4,U2OS,36.6,45.7,35.2
ENSG00000072401,UBE2D1,U2OS,17.4,21.7,16.7
ENSG00000072415,MPP5,U2OS,78.7,98.0,75.3
ENSG00000072422,RHOBTB1,U2OS,25.6,32.0,24.3
ENSG00000072501,SMC1A,U2OS,75.2,93.9,71.8
ENSG00000072506,HSD17B10,U2OS,137.8,171.9,132.4
ENSG00000072518,MARK2,U2OS,16.7,20.7,16.0
ENSG00000072571,HMMR,U2OS,47.1,58.6,45.1
ENSG00000072657,TRHDE,U2OS,2.1,2.7,2.1
ENSG00000072682,P4HA2,U2OS,66.0,82.3,62.8
ENSG00000072736,NFATC3,U2OS,12.4,15.4,11.8
ENSG00000072756,TRNT1,U2OS,16.0,19.9,15.3
ENSG00000072778,ACADVL,U2OS,101.3,126.3,97.1
ENSG00000072803,FBXW11,U2OS,21.7,27.1,20.8
ENSG00000072832,CRMP1,U2OS,33.0,41.2,31.4
ENSG00000073008,PVR,U2OS,49.3,61.5,47.3
ENSG00000073050,XRCC1,U2OS,45.6,57.0,43.7
ENSG00000073067,CYP2W1,U2OS,0.2,0.3,0.2
ENSG00000073111,MCM2,U2OS,95.4,119.0,91.1
ENSG00000073282,TP63,U2OS,0.1,0.2,0.1
ENSG00000073331,ALPK1,U2OS,2.4,3.0,2.3
ENSG00000073536,NLE1,U2OS,16.2,20.2,15.6
ENSG00000073578,SDHA,U2OS,84.7,105.6,81.0
